"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
71978 4 3 243.083333333333 12 4 "1" 1 1
72122 520 487 599.983755184516 150448 10645640 "1" 0.557462575959686 0.456901480022867
72267 229 194 671.596387822419 18493 382770 "1" 0.354190607523175 0.193772862990634
72385 1071 490 697.391079699509 254117 12944602 "1" 0.221748387828652 0.0633999621547648
72755 580 326 536.839057761478 56716 1920037 "1" 0.168888094812697 0.0593507829515688
73297 3348 371 1303.32589684285 476031 20171578 "1" 0.0424809356905505 0.00322792938926556
73311 934 474 339.534139105593 91010 1759570 "1" 0.104438492486993 0.0129991024585803
73774 3514 491 548.928444946814 624596 32854410 "1" 0.0505963620610073 0.00454684876047142
73871 21 21 1229.52121212121 165 240 "1" 0.392857142857143 0.180451127819549
74825 2712 491 551.878637585802 622219 39001802 "1" 0.0846299463890693 0.0117448487937447
75006 8 6 264.533333333333 15 2 "1" 0.267857142857143 0.0357142857142857
75322 1268 490 682.706109773368 237963 12025255 "1" 0.148119953490572 0.035474474501866
75859 1185 484 444.942133013155 114936 3280567 "1" 0.0819192610331851 0.0118589261602894
75924 15 13 393.189473684211 190 351 "1" 0.904761904761905 0.771428571428571
75949 1307 490 347.120606092055 192710 10890601 "1" 0.112897802034281 0.0293341711292078
76111 516 485 156.571384075019 150895 9794208 "1" 0.567829457364341 0.430229834667688
76952 523 410 225.535187994366 73832 2189940 "1" 0.270440942689904 0.0923790626862264
77083 4931 491 213.479269525526 783436 35357587 "1" 0.032227127873786 0.00177048857699942
77250 563 486 627.966360381155 135168 7038843 "1" 0.427197967168764 0.237927673038779
77269 2199 491 626.378581616338 440304 22045015 "1" 0.0910960851176873 0.012456002154588
77610 1909 491 261.416875220628 379598 18291986 "1" 0.104217251834793 0.0158007287956117
77806 779 339 535.89155161722 122556 5587369 "1" 0.20221693490105 0.071190252092536
78037 4640 490 395.529256301133 720426 26107155 "1" 0.0334693304888836 0.00156905331446953
78111 1532 487 421.693483989168 274002 13589581 "1" 0.1168206926308 0.022721234823996
78785 1248 485 551.679777529652 94934 2362135 "1" 0.0610015318816442 0.00730898185773031
78811 3 3 989.833333333333 6 1 "1" 1 1
78830 592 209 1153.89054965092 41681 769127 "1" 0.119132139753967 0.0223556915342599
78967 524 451 548.532384973926 86676 3444503 "1" 0.316275743289595 0.144468890961376
79252 3 3 511.75 4 0 "1" 0.666666666666667 0
79492 137 135 895.636081941814 5809 43337 "1" 0.311775440103049 0.103375316063165
79546 63 56 1141.21739130435 598 1206 "1" 0.153097798259089 0.0303694190526554
79940 861 458 135.390326982261 100403 3137127 "1" 0.135595440672015 0.0295929720810054
80637 2588 491 528.363531756669 548373 39782268 "1" 0.0819059331851267 0.013786421995197
80689 5216 491 671.323337454205 753077 25974280 "1" 0.0276851887253028 0.0010988333853929
80729 2483 486 514.031825721159 224881 4848170 "1" 0.0364900339228592 0.00190249633695867
80800 853 485 396.919279341408 116005 4050233 "1" 0.159620285212644 0.0392928085510513
81150 850 400 412.245458538398 88793 1957139 "1" 0.123041640684542 0.019188916516003
81617 21 21 278.316455696203 79 24 "1" 0.188095238095238 0.0180451127819549
81686 3095 491 696.114043138331 317073 13959994 "1" 0.0331114575816657 0.00282797521760385
81792 11 11 637.406779661017 59 39 "1" 0.536363636363636 0.236363636363636
82174 417 406 78.0834355687538 87217 3389386 "1" 0.50277278177458 0.282484614717864
82350 3 3 430 6 1 "1" 1 1
82351 3 3 721.25 4 0 "1" 0.666666666666667 0
83018 1282 225 680.468647064156 33091 355898 "1" 0.0201498926467597 0.0010158502066078
83202 2110 490 407.751379383489 410147 25695363 "1" 0.0921680722878029 0.0164352519513796
83432 2460 490 283.03311679914 502615 23425154 "1" 0.083088670455635 0.00945275040381037
83723 1307 480 502.006161790017 116200 2455916 "1" 0.068074955095135 0.00661508581784967
84351 903 489 258.170132451947 163984 9003751 "1" 0.201329394749701 0.0736131916002017
84405 3 3 303.5 6 1 "1" 1 1
84857 704 458 351.298258395781 28824 236763 "1" 0.0582406569248674 0.00408883879278616
85040 286 282 143.768753666918 47724 1612976 "1" 0.585498711814501 0.418070883897422
85200 162 161 1065.93590659995 8394 80003 "1" 0.321831147918104 0.11502616747182
85245 2445 491 429.620048965969 546502 27262296 "1" 0.0914558921477078 0.0112049557869173
85504 851 460 191.626205074214 96882 3550709 "1" 0.133935162784268 0.0346904677173174
85684 578 487 887.179873938864 109788 2926056 "1" 0.329193477778511 0.0913919089911426
85777 1191 488 386.026183213955 204253 9950861 "1" 0.144115177557169 0.0354300147117972
86046 3 3 369 6 1 "1" 1 1
86260 3 3 291.75 4 0 "1" 0.666666666666667 0
86299 7 7 1506.4 20 5 "1" 0.476190476190476 0.142857142857143
