"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1335" 1 0 48 2 2
"NO" "1336" 10 4 47.9 7 3
"NO" "1337" 245 1139 135.351020408163 28 5
"NO" "1338" 9 7 155.111111111111 5 3
"NO" "1339" 8 5 275 5 5
"NO" "134" 13 11 236.307692307692 7 5
"NO" "1340" 10 6 74.7 6 5
"NO" "1341" 10 10 372.9 5 5
"YES" "1342" 27 31 333.037037037037 10 5
"NO" "1343" 3 1 80.3333333333333 3 3
"NO" "1344" 3 1 102 3 3
"NO" "1345" 1 0 408 2 2
"NO" "1346" 3 1 88.3333333333333 3 3
"NO" "1347" 3 1 420.333333333333 3 3
"NO" "1348" 10 10 308.4 5 5
"NO" "1349" 10 10 296.1 5 5
"NO" "135" 5 2 141 4 1
"NO" "1350" 3 1 100.666666666667 3 3
"NO" "1351" 10 10 131.8 5 5
"YES" "1352" 228 1070 286.184210526316 29 5
"NO" "1353" 3 1 107 3 3
"NO" "1354" 9 5 127.888888888889 5 5
"NO" "1355" 1 0 568 2 2
"NO" "1356" 3 1 103.666666666667 3 3
"NO" "1357" 10 10 125 5 5
"NO" "1358" 1 0 397 2 2
"NO" "1359" 1 0 60 2 2
"NO" "136" 10 10 152.4 5 5
"NO" "1360" 10 10 111.4 5 3
"NO" "1361" 1 0 112 2 2
"NO" "1362" 6 4 842.833333333333 4 4
"YES" "1363" 10 10 513.3 5 5
"NO" "1364" 3 1 76.3333333333333 3 3
"NO" "1365" 1 0 126 2 2
"NO" "1366" 8 5 135.875 5 5
"NO" "1367" 10 10 292.9 5 5
"NO" "1368" 25 22 115.68 12 5
"NO" "1369" 1 0 309 2 2
"NO" "137" 10 10 192.9 5 5
"NO" "1370" 18 12 158.722222222222 11 5
"NO" "1371" 3 1 176.333333333333 3 3
"NO" "1372" 39 79 141.102564102564 10 5
"NO" "1373" 10 10 434 5 5
"NO" "1374" 2 0 110.5 3 3
"NO" "1375" 2 0 103 3 3
"NO" "1376" 20 20 238.8 9 5
"YES" "1377" 10 10 175.8 5 5
"NO" "1378" 3 1 245.666666666667 3 3
"NO" "1379" 1 0 147 2 2
"NO" "138" 10 10 81.9 5 5
"NO" "1380" 23 30 123.217391304348 8 5
"NO" "1381" 15 20 232.4 6 5
"NO" "1382" 1 0 47 2 1
"NO" "1383" 1 0 117 2 1
"NO" "1384" 7 3 251 5 5
"NO" "1385" 10 10 608.4 5 5
"NO" "1386" 3 1 347.333333333333 3 3
"NO" "1387" 3 1 245 3 2
"YES" "1388" 10 10 281.4 5 5
"NO" "1389" 3 1 155.333333333333 3 1
"NO" "139" 6 4 110.666666666667 4 4
"NO" "1390" 6 4 281.833333333333 4 4
"NO" "1391" 10 10 543.2 5 5
"NO" "1392" 1 0 155 2 1
"NO" "1393" 16 20 165.1875 7 5
"NO" "1394" 19 15 109.052631578947 9 5
"YES" "1395" 44 78 215.727272727273 14 5
"NO" "1396" 47 115 180.085106382979 11 5
"NO" "1397" 1 0 94 2 2
"NO" "1398" 6 4 110 4 4
"NO" "1399" 3 1 402.333333333333 3 3
"NO" "14" 10 10 297.1 5 5
"NO" "140" 10 10 306.9 5 5
"NO" "1400" 1 0 58 2 1
"YES" "1401" 10 10 395.2 5 5
"YES" "1402" 10 10 263.1 5 5
"NO" "1403" 2 0 120.5 3 3
"NO" "1404" 1 0 116 2 2
"NO" "1405" 6 4 149.333333333333 4 4
"NO" "1406" 10 10 527.2 5 5
"NO" "1407" 1 0 143 2 1
"NO" "1408" 3 1 161.333333333333 3 2
"NO" "1409" 10 10 148.3 5 5
"NO" "141" 35 77 115.257142857143 9 5
"YES" "1410" 6 4 89.6666666666667 4 4
"NO" "1411" 3 1 87.3333333333333 3 3
"NO" "1412" 6 4 128 4 4
"NO" "1413" 1 0 64 2 1
"NO" "1414" 10 10 97 5 5
"NO" "1415" 12 11 388.25 6 5
"NO" "1416" 11 4 111.363636363636 7 1
"NO" "1417" 20 30 260.7 7 1
"NO" "1418" 3 0 61 4 4
"NO" "1419" 406 2792 212.502463054187 46 5
"NO" "142" 15 20 228.066666666667 6 5
"NO" "1420" 11 10 238.545454545455 6 5
"NO" "1421" 1 0 51 2 2
"NO" "1422" 1 0 41 2 1
"YES" "1423" 542 1608 219.935424354244 92 5
"NO" "1424" 167 305 173.491017964072 42 4
"NO" "1425" 10 10 291.8 5 5
"NO" "1426" 124 336 102.395161290323 22 4
"NO" "1427" 3 1 229.333333333333 3 3
"NO" "1428" 3 1 83.3333333333333 3 3
"YES" "1429" 14 16 694.357142857143 6 5
"NO" "143" 3 1 122 3 3
"YES" "1430" 21 25 211.857142857143 8 5
"NO" "1431" 10 10 177.3 5 5
"NO" "1432" 24 26 199.291666666667 10 5
"NO" "1433" 9 7 119.444444444444 5 5
"NO" "1434" 10 10 832.9 5 5
"NO" "1435" 1 0 135 2 2
"YES" "1436" 114 286 280.833333333333 22 5
"NO" "1437" 10 10 62.4 5 5
"NO" "1438" 34 33 1110.82352941176 15 5
"NO" "1439" 1 0 99 2 1
"NO" "144" 6 4 131 4 2
"NO" "1440" 3 1 107.333333333333 3 1
"NO" "1441" 3 1 103.666666666667 3 3
"NO" "1442" 3 1 339 3 3
"NO" "1443" 1 0 50 2 1
"NO" "1444" 1 0 53 2 1
"NO" "1445" 10 10 215.8 5 5
"NO" "1446" 10 10 279.4 5 5
"NO" "1447" 10 10 439.4 5 5
"NO" "1448" 3 1 80 3 3
"NO" "1449" 6 4 287.333333333333 4 4
"NO" "145" 3 1 124.666666666667 3 3
"NO" "1450" 256 1315 170.734375 35 1
"NO" "1451" 5 2 48.6 4 1
"NO" "1452" 10 10 147.5 5 5
"NO" "1453" 28 32 213.892857142857 11 5
"YES" "1454" 47 120 186.702127659574 10 5
"NO" "1455" 10 10 197.4 5 5
"YES" "1456" 10 10 175.7 5 5
"NO" "1457" 1 0 106 2 2
"NO" "1458" 13 11 159.615384615385 7 5
"NO" "1459" 3 1 140.666666666667 3 3
"NO" "146" 10 10 265.9 5 5
"NO" "1460" 1 0 93 2 2
"NO" "1461" 14 16 83.7857142857143 6 5
"NO" "1462" 1 0 109 2 1
"NO" "1463" 10 10 130.1 5 5
"NO" "1464" 1 0 122 2 2
"NO" "1465" 23 27 230.391304347826 9 5
"NO" "1466" 11 10 987.090909090909 6 5
"NO" "1467" 8 5 91.125 5 5
"NO" "1468" 3 1 118.666666666667 3 3
"NO" "1469" 1 0 72 2 1
